version,split,filename,source,n_annotations,max_margin,canopy_annotated_frac,complete
0.22,validation,FIN01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,47,0.0169130637969215,0.6975353739257706,True
0.22,validation,FIN04_clipped_Allen_et_al_2025.tif,Allen et al. 2025,42,0.0190565705282609,0.7986091475593762,True
0.22,validation,FIN09_clipped_Allen_et_al_2025.tif,Allen et al. 2025,123,0.0154536432851768,0.770174663377701,True
0.22,validation,FIN10_clipped_Allen_et_al_2025.tif,Allen et al. 2025,72,0.0134470789720797,0.8217501317449128,True
0.22,validation,FIN12_clipped_Allen_et_al_2025.tif,Allen et al. 2025,141,0.0187266511309639,0.8121935500392665,True
0.22,validation,FIN18_clipped_Allen_et_al_2025.tif,Allen et al. 2025,84,0.0152370779277039,0.8510264201413391,True
0.22,validation,FIN19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,67,0.0149607240925883,0.8932009964257028,True
0.22,validation,FIN23_clipped_Allen_et_al_2025.tif,Allen et al. 2025,101,0.0193096664386887,0.839239489278923,True
0.22,validation,FIN25_clipped_Allen_et_al_2025.tif,Allen et al. 2025,98,0.0163461515070406,0.7789000432419599,True
0.22,validation,FIN27_clipped_Allen_et_al_2025.tif,Allen et al. 2025,78,0.0199263371620546,0.8247871579231176,True
0.22,validation,FIN28_clipped_Allen_et_al_2025.tif,Allen et al. 2025,51,0.0196678051211246,0.8327875826801543,True
0.22,validation,SPA01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,86,0.0238582815164193,0.873760767105477,True
0.22,validation,SPA02_clipped_Allen_et_al_2025.tif,Allen et al. 2025,39,0.0228054673900076,0.6243112063461045,True
0.22,validation,SPA03_clipped_Allen_et_al_2025.tif,Allen et al. 2025,36,0.0232788501981742,0.8160600150810355,True
0.22,validation,SPA06_clipped_Allen_et_al_2025.tif,Allen et al. 2025,41,0.0179641671937286,0.8644368173567374,True
0.22,validation,SPA13_clipped_Allen_et_al_2025.tif,Allen et al. 2025,79,0.020054638652925,0.6518768677784322,True
0.22,validation,SPA16_clipped_Allen_et_al_2025.tif,Allen et al. 2025,70,0.0210832232922143,0.68475635793438,True
0.22,validation,SPA17_clipped_Allen_et_al_2025.tif,Allen et al. 2025,125,0.0159373268980839,0.7473179161031847,True
0.22,validation,SPA19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,49,0.0198054480376204,0.8430288936667336,True
0.22,validation,SPA23_clipped_Allen_et_al_2025.tif,Allen et al. 2025,35,0.0232990569648007,0.563058245782143,True
0.22,validation,SPA24_clipped_Allen_et_al_2025.tif,Allen et al. 2025,29,0.017410840601689,0.6726504653457615,True
0.22,validation,SPA26_clipped_Allen_et_al_2025.tif,Allen et al. 2025,58,0.0195760133177397,0.7215955721009203,True
0.22,validation,SPA32_clipped_Allen_et_al_2025.tif,Allen et al. 2025,21,0.0226001140328922,0.6923410116172303,True
0.22,validation,SPA36_clipped_Allen_et_al_2025.tif,Allen et al. 2025,37,0.0231484357926616,0.7241216332634128,True
0.22,validation,ortho_3919_10000_40000_Frey_et_al_2026.png,Frey et al. 2026,14,0.8724603566639125,0.0533896058479796,False
0.22,validation,ortho_3919_10000_42000_Frey_et_al_2026.png,Frey et al. 2026,27,0.7172726589143277,0.2334842515515452,False
0.22,validation,ortho_3919_10000_44000_Frey_et_al_2026.png,Frey et al. 2026,8,0.7609191989060492,0.0631491823579715,False
0.22,validation,ortho_3919_12000_28000_Frey_et_al_2026.png,Frey et al. 2026,8,0.94260885572806,0.00792725,False
0.22,validation,ortho_3919_12000_30000_Frey_et_al_2026.png,Frey et al. 2026,28,0.7647896187230945,0.15717575,False
0.22,validation,ortho_3919_12000_32000_Frey_et_al_2026.png,Frey et al. 2026,32,0.5853538431990891,0.33927125,False
0.22,validation,ortho_3919_12000_34000_Frey_et_al_2026.png,Frey et al. 2026,30,0.4172338373064995,0.51398125,False
0.22,validation,ortho_3919_12000_36000_Frey_et_al_2026.png,Frey et al. 2026,43,0.2474972928930074,0.6942555,False
0.22,validation,ortho_3919_12000_38000_Frey_et_al_2026.png,Frey et al. 2026,47,0.050279593668878,0.875221,False
0.22,validation,ortho_3919_12000_40000_Frey_et_al_2026.png,Frey et al. 2026,67,0.0,0.9895165822653162,True
0.22,validation,ortho_3919_12000_42000_Frey_et_al_2026.png,Frey et al. 2026,68,0.0,0.99944075,True
0.22,validation,ortho_3919_12000_44000_Frey_et_al_2026.png,Frey et al. 2026,63,0.0,0.898861935744611,True
0.22,validation,ortho_3919_12000_46000_Frey_et_al_2026.png,Frey et al. 2026,12,0.6750807254910469,0.1195931158376544,False
0.22,validation,ortho_3919_14000_28000_Frey_et_al_2026.png,Frey et al. 2026,44,0.2755366495549678,0.62141175,False
0.22,validation,ortho_3919_14000_30000_Frey_et_al_2026.png,Frey et al. 2026,67,0.0,0.999085,True
0.22,validation,ortho_3919_14000_32000_Frey_et_al_2026.png,Frey et al. 2026,62,0.0,0.99910625,True
0.22,validation,ortho_3919_14000_34000_Frey_et_al_2026.png,Frey et al. 2026,65,0.0,0.99946825,True
0.22,validation,ortho_3919_14000_36000_Frey_et_al_2026.png,Frey et al. 2026,61,0.0,0.9963195,True
0.22,validation,ortho_3919_14000_38000_Frey_et_al_2026.png,Frey et al. 2026,59,0.0,0.99968125,True
0.22,validation,ortho_3919_14000_40000_Frey_et_al_2026.png,Frey et al. 2026,56,0.0,0.9988975050025772,True
0.22,validation,ortho_3919_14000_42000_Frey_et_al_2026.png,Frey et al. 2026,47,0.0,0.99921225,True
0.22,validation,ortho_3919_14000_44000_Frey_et_al_2026.png,Frey et al. 2026,64,0.0,0.9996114843809684,True
0.22,validation,ortho_3919_14000_46000_Frey_et_al_2026.png,Frey et al. 2026,40,0.2725626344382763,0.56927725,False
0.22,validation,ortho_3919_16000_28000_Frey_et_al_2026.png,Frey et al. 2026,35,0.3175666510164737,0.633555,False
0.22,validation,ortho_3919_16000_30000_Frey_et_al_2026.png,Frey et al. 2026,62,0.0,0.9966141516059748,True
0.22,validation,ortho_3919_16000_32000_Frey_et_al_2026.png,Frey et al. 2026,54,0.0,0.9855666396411444,True
0.22,validation,ortho_3919_16000_34000_Frey_et_al_2026.png,Frey et al. 2026,54,0.0,0.9948616461276508,True
0.22,validation,ortho_3919_16000_36000_Frey_et_al_2026.png,Frey et al. 2026,50,0.0,0.99949425,True
0.22,validation,ortho_3919_16000_38000_Frey_et_al_2026.png,Frey et al. 2026,59,0.0,0.9927155644866642,True
0.22,validation,ortho_3919_16000_40000_Frey_et_al_2026.png,Frey et al. 2026,50,0.0,0.9995794473122034,True
0.22,validation,ortho_3919_16000_42000_Frey_et_al_2026.png,Frey et al. 2026,52,0.0,0.999962,True
0.22,validation,ortho_3919_16000_44000_Frey_et_al_2026.png,Frey et al. 2026,54,0.0,0.998266,True
0.22,validation,ortho_3919_16000_46000_Frey_et_al_2026.png,Frey et al. 2026,50,0.1383899374008177,0.772473,False
0.22,validation,ortho_3919_18000_28000_Frey_et_al_2026.png,Frey et al. 2026,30,0.4404235784113407,0.5048616949467677,False
0.22,validation,ortho_3919_18000_30000_Frey_et_al_2026.png,Frey et al. 2026,64,0.0,0.9971752875759928,True
0.22,validation,ortho_3919_18000_32000_Frey_et_al_2026.png,Frey et al. 2026,51,0.0,0.9993015,True
0.22,validation,ortho_3919_18000_34000_Frey_et_al_2026.png,Frey et al. 2026,59,0.0,0.999886,True
0.22,validation,ortho_3919_18000_36000_Frey_et_al_2026.png,Frey et al. 2026,55,0.0,0.9994585,True
0.22,validation,ortho_3919_18000_38000_Frey_et_al_2026.png,Frey et al. 2026,46,0.0,0.99979,True
0.22,validation,ortho_3919_18000_40000_Frey_et_al_2026.png,Frey et al. 2026,57,0.0,0.9991805,True
0.22,validation,ortho_3919_18000_42000_Frey_et_al_2026.png,Frey et al. 2026,59,0.0,1.0,True
0.22,validation,ortho_3919_18000_44000_Frey_et_al_2026.png,Frey et al. 2026,46,0.0,0.999595,True
0.22,validation,ortho_3919_18000_46000_Frey_et_al_2026.png,Frey et al. 2026,53,0.0866607048511505,0.8932,False
0.22,validation,ortho_3919_20000_28000_Frey_et_al_2026.png,Frey et al. 2026,13,0.6214758924543857,0.1561019052353879,False
0.22,validation,ortho_3919_20000_30000_Frey_et_al_2026.png,Frey et al. 2026,60,0.0,0.95577025,True
0.22,validation,ortho_3919_20000_32000_Frey_et_al_2026.png,Frey et al. 2026,56,0.0,0.99884975,True
0.22,validation,ortho_3919_20000_34000_Frey_et_al_2026.png,Frey et al. 2026,65,0.0,0.99844225,True
0.22,validation,ortho_3919_20000_36000_Frey_et_al_2026.png,Frey et al. 2026,65,0.0,0.9990311333209144,True
0.22,validation,ortho_3919_20000_38000_Frey_et_al_2026.png,Frey et al. 2026,63,0.0,0.99959425,True
0.22,validation,ortho_3919_20000_40000_Frey_et_al_2026.png,Frey et al. 2026,55,0.0,0.99958525,True
0.22,validation,ortho_3919_20000_42000_Frey_et_al_2026.png,Frey et al. 2026,68,0.0,0.9944495,True
0.22,validation,ortho_3919_20000_44000_Frey_et_al_2026.png,Frey et al. 2026,69,0.0,0.95957075,True
0.22,validation,ortho_3919_20000_46000_Frey_et_al_2026.png,Frey et al. 2026,37,0.1663829309120774,0.5685145,False
0.22,validation,ortho_3919_22000_30000_Frey_et_al_2026.png,Frey et al. 2026,21,0.6005944495350123,0.2425850971730019,False
0.22,validation,ortho_3919_22000_32000_Frey_et_al_2026.png,Frey et al. 2026,23,0.490669830294326,0.49416875,False
0.22,validation,ortho_3919_22000_34000_Frey_et_al_2026.png,Frey et al. 2026,42,0.4971359843686223,0.49390275,False
0.22,validation,ortho_3919_22000_36000_Frey_et_al_2026.png,Frey et al. 2026,34,0.5068352154772728,0.4753734694204098,False
0.22,validation,ortho_3919_22000_38000_Frey_et_al_2026.png,Frey et al. 2026,31,0.5165344465859234,0.4709357607869714,False
0.22,validation,ortho_3919_22000_40000_Frey_et_al_2026.png,Frey et al. 2026,27,0.6054440650884062,0.34275275,False
0.22,validation,ortho_3919_22000_42000_Frey_et_al_2026.png,Frey et al. 2026,25,0.7186017613634467,0.229938,False
0.22,validation,ortho_3919_22000_44000_Frey_et_al_2026.png,Frey et al. 2026,7,0.8252933035660535,0.06817225,False
0.23,validation,FIN01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,47,0.016913063796921587,0.6975353739257706,True
0.23,validation,FIN04_clipped_Allen_et_al_2025.tif,Allen et al. 2025,42,0.019056570528260944,0.7986091475593762,True
0.23,validation,FIN09_clipped_Allen_et_al_2025.tif,Allen et al. 2025,123,0.015453643285176868,0.770174663377701,True
0.23,validation,FIN10_clipped_Allen_et_al_2025.tif,Allen et al. 2025,72,0.01344707897207971,0.8217501317449128,True
0.23,validation,FIN12_clipped_Allen_et_al_2025.tif,Allen et al. 2025,141,0.01872665113096392,0.8121935500392665,True
0.23,validation,FIN18_clipped_Allen_et_al_2025.tif,Allen et al. 2025,84,0.015237077927703766,0.8510264201413391,True
0.23,validation,FIN19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,67,0.014960724092588393,0.8932009964257028,True
0.23,validation,FIN23_clipped_Allen_et_al_2025.tif,Allen et al. 2025,101,0.01930966643868879,0.839239489278923,True
0.23,validation,FIN25_clipped_Allen_et_al_2025.tif,Allen et al. 2025,98,0.01634615150704067,0.7789000432419599,True
0.23,validation,FIN27_clipped_Allen_et_al_2025.tif,Allen et al. 2025,78,0.0199263371620546,0.8247871579231176,True
0.23,validation,FIN28_clipped_Allen_et_al_2025.tif,Allen et al. 2025,51,0.01966780512112467,0.8327875826801543,True
0.23,validation,SPA01_clipped_Allen_et_al_2025.tif,Allen et al. 2025,86,0.023858281516419343,0.873760767105477,True
0.23,validation,SPA02_clipped_Allen_et_al_2025.tif,Allen et al. 2025,39,0.022805467390007612,0.6243112063461045,True
0.23,validation,SPA03_clipped_Allen_et_al_2025.tif,Allen et al. 2025,36,0.023278850198174484,0.8160600150810355,True
0.23,validation,SPA06_clipped_Allen_et_al_2025.tif,Allen et al. 2025,41,0.017964167193728637,0.8644368173567374,True
0.23,validation,SPA13_clipped_Allen_et_al_2025.tif,Allen et al. 2025,79,0.020054638652925,0.6518768677784322,True
0.23,validation,SPA16_clipped_Allen_et_al_2025.tif,Allen et al. 2025,70,0.021083223292214303,0.68475635793438,True
0.23,validation,SPA17_clipped_Allen_et_al_2025.tif,Allen et al. 2025,125,0.015937326898083925,0.7473179161031847,True
0.23,validation,SPA19_clipped_Allen_et_al_2025.tif,Allen et al. 2025,49,0.01980544803762046,0.8430288936667336,True
