model,score_threshold,recall,precision_mask,precision,f1_mask,f1_plain,ap50,ap40
CanopyRS DINO,0.3,0.5487910651142187,0.8873581726540931,0.5084215721689431,0.67816661932067,0.5278355673739614,0.3126181336936089,0.4065644565050609
CanopyRS DINO,0.35,0.5214809490496505,0.939292655613964,0.5826973370436643,0.6706353728204618,0.5503922041527164,0.300605206623244,0.39023105261380703
CanopyRS DINO,0.4,0.48677162154792564,0.975938251488705,0.6307371658211375,0.6495601813660654,0.5494810536570776,0.2876662280097214,0.3717502776864963
CanopyRS DINO,0.45,0.44686344609897255,0.9883906038803545,0.6575066776358425,0.6154668316012506,0.532096429424943,0.27060634225829155,0.3492694886356191
CanopyRS DINO,0.5,0.40695572932936686,0.992035296215624,0.6781058726479855,0.5771508753383644,0.5086514340994025,0.25287744466784257,0.32243149538948024
CanopyRS DINO,0.55,0.3687255653987684,0.9942312468951815,0.6974781365868435,0.537945847354529,0.4824181716632866,0.234554188348231,0.29846684441957694
CanopyRS DINO,0.6,0.33754424810617367,0.995920943216916,0.7226302242765552,0.504201216707867,0.46015006410033443,0.21848041160941778,0.2734825603947343
CanopyRS DINO,0.65,0.30380831721988133,0.9979166666666666,0.7324865931735395,0.46580558409578243,0.4294829918130025,0.19910815051925296,0.2516386138052138
CanopyRS DINO,0.7,0.26709166146409435,1.0,0.7432652200015227,0.42158222579647675,0.3929699419292529,0.17578623947645106,0.22200263573769236
CanopyRS DINO,0.75,0.23425930192417407,1.0,0.7647924430625883,0.3795949547375834,0.3586595884102069,0.15503040637400428,0.19891329967160942
CanopyRS DINO,0.8,0.19515236569466327,1.0,0.7644794633442671,0.32657319902677695,0.31093169543164034,0.1329655365724073,0.1670671292094309
CanopyRS DINO,0.85,0.14334772217158379,1.0,0.7855488601886125,0.2507508772559944,0.24245247942758885,0.10173029820086502,0.12441135406595634
CanopyRS DINO,0.9,0.07259720401047975,0.9299863387978142,0.7578731476031381,0.13468086215648892,0.13250195242661147,0.059258214864368566,0.06874032362928179
CanopyRS DINO,0.95,0.0,0.0,0.0,,,,
SAM3,0.1,0.5375815290861817,0.6134025471704357,0.2784532977237183,0.5729946852535279,0.3668749044807073,0.2521731579202559,0.34476038684260046
SAM3,0.15,0.5136351793620174,0.6982975620140169,0.35495748527440796,0.591897852525864,0.41980242071495255,0.24825608266054844,0.33677740649924237
SAM3,0.2,0.49339792162323914,0.7603210720743658,0.41619658114540226,0.5984448486681034,0.4515210404169976,0.24344183133406316,0.33106807270878136
SAM3,0.25,0.4722740486267621,0.826028702700587,0.4772535422968236,0.6009567788522031,0.47475073878105645,0.23816146336386318,0.32219397720341253
SAM3,0.3,0.448925101725446,0.8757580547440923,0.5320818482628424,0.5935755609072108,0.486979012453503,0.22731460496660266,0.309271406449286
SAM3,0.35,0.42491785523953085,0.9133299664187291,0.5803632088602974,0.5799975223957334,0.4906223717437106,0.21985242803010913,0.2981000548922909
SAM3,0.4,0.39617019198358383,0.9440452371423286,0.6142231305512612,0.5581230818746633,0.4816676637188665,0.20763166434238628,0.27716858458037774
SAM3,0.45,0.3599396474948651,0.9700436253283489,0.6442253490999168,0.525054965261564,0.4618409242477382,0.19374359426442475,0.2516703779175077
SAM3,0.5,0.32169633950776144,0.9918316604176117,0.6685312867050728,0.48581928148068154,0.43437299078789987,0.17339741345358972,0.2287291958681585
SAM3,0.55,0.2779751011548936,0.9944929761522096,0.6772453117104924,0.43450093652451344,0.39416522405479965,0.15592405284230937,0.19460973760309663
SAM3,0.6,0.22208764561505595,0.9905777884924462,0.6847122264241885,0.3628289924941553,0.3353907096356758,0.12788987412364783,0.15621332406399352
SAM3,0.65,0.17762919504652808,0.9448916861826698,0.6783343313705386,0.29904183063212775,0.28153531671643706,0.10153217756405238,0.12011333109573899
SAM3,0.7,0.12514202188276893,0.8555327868852459,0.6194090771737699,0.21834577941758107,0.20821701663804662,0.07452288249180841,0.08274893639713435
SAM3,0.75,0.08025927610439496,0.7199453551912569,0.5373882417547035,0.14441879185031345,0.13966021079383747,0.046299056926360584,0.05197087781402735
SAM3,0.8,0.04018400146699252,0.6215846994535519,0.4515383303163083,0.07548788705164405,0.07380025577455414,0.02547822778354985,0.025989086390229597
SAM3,0.85,0.011993131437363505,0.2619535519125683,0.1766220459868001,0.022936166557334138,0.022461091850441775,0.00941969196919692,0.00941969196919692
SAM3,0.9,0.002287779342071345,0.0706967213114754,0.0625,0.0044321327712121186,0.004413987030625323,0.0049504950495049506,0.0049504950495049506
SAM3,0.95,0.0,0.0,0.0,,,,
DeepForest (fine-tuned),0.1,0.3283881913426624,0.8178439020172638,0.2043654659294668,0.46861413380394956,0.2519408541392626,0.09852644918778898,0.1494971989458898
DeepForest (fine-tuned),0.15,0.30898508970316757,0.8472897406034918,0.22534313004967413,0.45283333969227835,0.26061759300153753,0.09597610158605863,0.14486225883001816
DeepForest (fine-tuned),0.2,0.2794399808548417,0.8842793724286273,0.2667529067388841,0.42467801227947005,0.2729490948902038,0.09320269403110831,0.13887575430919685
DeepForest (fine-tuned),0.25,0.2456338019243705,0.9049201289320878,0.3232740223836352,0.3863860106792535,0.27915603824947766,0.08882697643544915,0.1331994480843578
DeepForest (fine-tuned),0.3,0.21041551956319404,0.9212834922223664,0.391741512277338,0.34258639914354744,0.2737774018460247,0.08268303068022934,0.1215775014207511
DeepForest (fine-tuned),0.35,0.16855889616793698,0.9069101640583102,0.4335131974729711,0.2842811231501025,0.2427367314049912,0.07399254708425097,0.1068270914998189
DeepForest (fine-tuned),0.4,0.12829965109380742,0.9189328631138975,0.5024975701828975,0.22516253862752555,0.20440883616914754,0.0628651860140523,0.0911174971365546
DeepForest (fine-tuned),0.45,0.09255459416833947,0.894951923076923,0.5341922905734977,0.1677597273416009,0.1577732633876636,0.051487227986756263,0.07188627538563189
DeepForest (fine-tuned),0.5,0.06285114494760291,0.8352686703096539,0.5305434374134652,0.11690554283736905,0.11238815950491204,0.041443863522400426,0.05377925471340789
DeepForest (fine-tuned),0.55,0.040751887372373646,0.7728825136612021,0.5003223343899573,0.07742155717306895,0.07536518503703026,0.030244045849890336,0.0370904045728994
DeepForest (fine-tuned),0.6,0.02623190657155771,0.6663251366120219,0.4756646283285627,0.050476647091880766,0.04972176224405564,0.02391194965554705,0.02572065110922857
DeepForest (fine-tuned),0.65,0.014148910713145184,0.45184426229508196,0.3347563752276867,0.02743861710329047,0.027150279772808494,0.013696369636963697,0.018198962753418202
DeepForest (fine-tuned),0.7,0.0061642650271428135,0.30293715846994534,0.24487704918032788,0.01208266794925256,0.012025805672485644,0.009900990099009901,0.009900990099009901
DeepForest (fine-tuned),0.75,0.0016416667844196232,0.08709016393442623,0.07889344262295082,0.0032225871645504356,0.00321640450272389,0.009900990099009901,0.009900990099009901
DeepForest (fine-tuned),0.8,0.0003109452736318408,0.020833333333333332,0.020833333333333332,0.0006127450980392157,0.0006127450980392157,0.009900990099009901,0.009900990099009901
DeepForest (fine-tuned),0.85,0.0,0.0,0.0,,,,
DeepForest (fine-tuned),0.9,0.0,0.0,0.0,,,,
DeepForest (fine-tuned),0.95,0.0,0.0,0.0,,,,
DeepForest (pretrained),0.1,0.2873931281217382,0.966989090453359,0.27898161764581664,0.4430962356604031,0.28312491114001564,0.035325923150518655,0.12051350152958193
DeepForest (pretrained),0.15,0.2773908527021961,0.9646609231034231,0.2761758706366695,0.4308807752472045,0.2767820283329466,0.0347228086327187,0.1176992748307016
DeepForest (pretrained),0.2,0.25521810185649646,0.9656522916777651,0.2843705357914921,0.4037315447087363,0.269006807426387,0.03376550792979231,0.11118740605471258
DeepForest (pretrained),0.25,0.22365299958320917,0.9717897051529224,0.3037417694391122,0.363620408841773,0.2576163504985155,0.03125322554570081,0.10536368092937257
DeepForest (pretrained),0.3,0.1944396659117555,0.9749761471072946,0.3304743676896591,0.32422006647242885,0.24482990178452255,0.028099612697054126,0.09465134960653471
DeepForest (pretrained),0.35,0.16582882757219072,0.9888699149969642,0.38791332686257485,0.2840275694082823,0.23233633805217893,0.025354796159725163,0.08757315475935155
DeepForest (pretrained),0.4,0.1359616163528521,0.9933211900425016,0.4148733318280502,0.239184646734869,0.2048049019522633,0.02325543461098903,0.07525634455247295
DeepForest (pretrained),0.45,0.11033349258178578,0.9560706967213115,0.44839447911498387,0.19783609288575627,0.17709129108000518,0.01877964692316066,0.06418676208291853
DeepForest (pretrained),0.5,0.08433762062027678,0.8637295081967213,0.40173180990640733,0.15367032431918498,0.13940849947412495,0.016368676182824473,0.051660139351765715
DeepForest (pretrained),0.55,0.059422800667387164,0.7527322404371585,0.3717372947365666,0.11015004676589864,0.10246621336823364,0.01370946901632119,0.03924345332678442
DeepForest (pretrained),0.6,0.03951553333045247,0.5635245901639344,0.3013682336779421,0.07385238181538609,0.06986971886136806,0.009574070255569112,0.029006845634012266
DeepForest (pretrained),0.65,0.024610339567504774,0.38627049180327866,0.24132226481544908,0.04627253082832289,0.044665624180140584,0.00847765188890023,0.02065999116918495
DeepForest (pretrained),0.7,0.01017851912202791,0.25,0.15641996891996893,0.019560644661164403,0.019113302448670075,0.0044004400440044,0.01403949918801404
DeepForest (pretrained),0.75,0.0045918880272283755,0.1875,0.1076388888888889,0.008964241165491377,0.008808024656596202,0.0044004400440044,0.007072135785007073
DeepForest (pretrained),0.8,0.0,0.020833333333333332,0.0,0.0,,0.0,0.0
DeepForest (pretrained),0.85,0.0,0.0,0.0,,,,
DeepForest (pretrained),0.9,0.0,0.0,0.0,,,,
DeepForest (pretrained),0.95,0.0,0.0,0.0,,,,
