model,task,eval_split,score_threshold,cutoff,group,n_images,n_gt,n_pred,n_unmatched,n_forgiven,recall,precision,f1
detectron2-maskrcnn,TreePolygons,validation,0.1,0.0,overall (macro),85,4329,5546,3728,3698,0.4304336806177317,0.9860868973045561,0.5992782868545168
detectron2-maskrcnn,TreePolygons,validation,0.1,0.0,Allen et al. 2025,24,1604,1462,737,727,0.4861747654455241,0.9870582576464929,0.6514689928483612
detectron2-maskrcnn,TreePolygons,validation,0.1,0.0,Frey et al. 2026,61,2725,4084,2991,2971,0.37469259578993924,0.9851155369626193,0.5428934991738145
detectron2-maskrcnn,TreePolygons,validation,0.1,0.05,overall (macro),85,4329,5546,3728,3689,0.4304336806177317,0.9780583214793857,0.5977871972952031
detectron2-maskrcnn,TreePolygons,validation,0.1,0.05,Allen et al. 2025,24,1604,1462,737,719,0.4861747654455241,0.9737333464333106,0.6485402436725283
detectron2-maskrcnn,TreePolygons,validation,0.1,0.05,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.1,overall (macro),85,4329,5546,3728,3689,0.4304336806177317,0.9780583214793857,0.5977871972952031
detectron2-maskrcnn,TreePolygons,validation,0.1,0.1,Allen et al. 2025,24,1604,1462,737,719,0.4861747654455241,0.9737333464333106,0.6485402436725283
detectron2-maskrcnn,TreePolygons,validation,0.1,0.1,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.15,overall (macro),85,4329,5546,3728,3687,0.4304336806177317,0.9767297042971099,0.5975388019561303
detectron2-maskrcnn,TreePolygons,validation,0.1,0.15,Allen et al. 2025,24,1604,1462,737,717,0.4861747654455241,0.9710761120687591,0.6479497913497095
detectron2-maskrcnn,TreePolygons,validation,0.1,0.15,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.2,overall (macro),85,4329,5546,3728,3686,0.4304336806177317,0.9758650797911811,0.597376901560657
detectron2-maskrcnn,TreePolygons,validation,0.1,0.2,Allen et al. 2025,24,1604,1462,737,716,0.4861747654455241,0.9693468630569014,0.6475643845525423
detectron2-maskrcnn,TreePolygons,validation,0.1,0.2,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.25,overall (macro),85,4329,5546,3728,3685,0.4304336806177317,0.97506646868007,0.5972271851704644
detectron2-maskrcnn,TreePolygons,validation,0.1,0.25,Allen et al. 2025,24,1604,1462,737,715,0.4861747654455241,0.9677496408346792,0.6472075887996552
detectron2-maskrcnn,TreePolygons,validation,0.1,0.25,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.3,overall (macro),85,4329,5546,3728,3684,0.4304336806177317,0.9736928423064436,0.5969692717324102
detectron2-maskrcnn,TreePolygons,validation,0.1,0.3,Allen et al. 2025,24,1604,1462,737,714,0.4861747654455241,0.9650023880874264,0.6465920560292537
detectron2-maskrcnn,TreePolygons,validation,0.1,0.3,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.35,overall (macro),85,4329,5546,3728,3684,0.4304336806177317,0.9736928423064436,0.5969692717324102
detectron2-maskrcnn,TreePolygons,validation,0.1,0.35,Allen et al. 2025,24,1604,1462,737,714,0.4861747654455241,0.9650023880874264,0.6465920560292537
detectron2-maskrcnn,TreePolygons,validation,0.1,0.35,Frey et al. 2026,61,2725,4084,2991,2970,0.37469259578993924,0.9823832965254607,0.5424777634326345
detectron2-maskrcnn,TreePolygons,validation,0.1,0.4,overall (macro),85,4329,5546,3728,3683,0.4304336806177317,0.9733661613846094,0.5969078595078396
detectron2-maskrcnn,TreePolygons,validation,0.1,0.4,Allen et al. 2025,24,1604,1462,737,714,0.4861747654455241,0.9650023880874264,0.6465920560292537
detectron2-maskrcnn,TreePolygons,validation,0.1,0.4,Frey et al. 2026,61,2725,4084,2991,2969,0.37469259578993924,0.9817299346817925,0.5423781002261586
detectron2-maskrcnn,TreePolygons,validation,0.1,0.45,overall (macro),85,4329,5546,3728,3682,0.4304336806177317,0.9725838820697215,0.5967606838318814
detectron2-maskrcnn,TreePolygons,validation,0.1,0.45,Allen et al. 2025,24,1604,1462,737,713,0.4861747654455241,0.9634378294576504,0.6462404678392082
detectron2-maskrcnn,TreePolygons,validation,0.1,0.45,Frey et al. 2026,61,2725,4084,2991,2969,0.37469259578993924,0.9817299346817925,0.5423781002261586
detectron2-maskrcnn,TreePolygons,validation,0.1,0.5,overall (macro),85,4329,5546,3728,3682,0.4304336806177317,0.9725838820697215,0.5967606838318814
detectron2-maskrcnn,TreePolygons,validation,0.1,0.5,Allen et al. 2025,24,1604,1462,737,713,0.4861747654455241,0.9634378294576504,0.6462404678392082
detectron2-maskrcnn,TreePolygons,validation,0.1,0.5,Frey et al. 2026,61,2725,4084,2991,2969,0.37469259578993924,0.9817299346817925,0.5423781002261586
detectron2-maskrcnn,TreePolygons,validation,0.1,0.55,overall (macro),85,4329,5546,3728,3679,0.4304336806177317,0.9702242914349406,0.5963157617630974
detectron2-maskrcnn,TreePolygons,validation,0.1,0.55,Allen et al. 2025,24,1604,1462,737,711,0.4861747654455241,0.9596226983327366,0.6453799400905191
detectron2-maskrcnn,TreePolygons,validation,0.1,0.55,Frey et al. 2026,61,2725,4084,2991,2968,0.37469259578993924,0.9808258845371445,0.5422400388174818
detectron2-maskrcnn,TreePolygons,validation,0.1,0.6,overall (macro),85,4329,5546,3728,3676,0.4304336806177317,0.9679139281870773,0.5958786670888291
detectron2-maskrcnn,TreePolygons,validation,0.1,0.6,Allen et al. 2025,24,1604,1462,737,708,0.4861747654455241,0.9550019718370102,0.644331604371225
detectron2-maskrcnn,TreePolygons,validation,0.1,0.6,Frey et al. 2026,61,2725,4084,2991,2968,0.37469259578993924,0.9808258845371445,0.5422400388174818
detectron2-maskrcnn,TreePolygons,validation,0.1,0.65,overall (macro),85,4329,5546,3728,3675,0.4304336806177317,0.9669948105400185,0.5957043785391092
detectron2-maskrcnn,TreePolygons,validation,0.1,0.65,Allen et al. 2025,24,1604,1462,737,707,0.4861747654455241,0.9531637365428924,0.6439126798939051
detectron2-maskrcnn,TreePolygons,validation,0.1,0.65,Frey et al. 2026,61,2725,4084,2991,2968,0.37469259578993924,0.9808258845371445,0.5422400388174818
detectron2-maskrcnn,TreePolygons,validation,0.1,0.7,overall (macro),85,4329,5546,3728,3675,0.4304336806177317,0.9669948105400185,0.5957043785391092
detectron2-maskrcnn,TreePolygons,validation,0.1,0.7,Allen et al. 2025,24,1604,1462,737,707,0.4861747654455241,0.9531637365428924,0.6439126798939051
detectron2-maskrcnn,TreePolygons,validation,0.1,0.7,Frey et al. 2026,61,2725,4084,2991,2968,0.37469259578993924,0.9808258845371445,0.5422400388174818
detectron2-maskrcnn,TreePolygons,validation,0.1,0.75,overall (macro),85,4329,5546,3728,3672,0.4304336806177317,0.9652211666095118,0.5953674007284501
detectron2-maskrcnn,TreePolygons,validation,0.1,0.75,Allen et al. 2025,24,1604,1462,737,704,0.4861747654455241,0.9496164486818793,0.6431012387573471
detectron2-maskrcnn,TreePolygons,validation,0.1,0.75,Frey et al. 2026,61,2725,4084,2991,2968,0.37469259578993924,0.9808258845371445,0.5422400388174818
detectron2-maskrcnn,TreePolygons,validation,0.1,0.8,overall (macro),85,4329,5546,3728,3668,0.4304336806177317,0.9625033037615329,0.594849364028374
detectron2-maskrcnn,TreePolygons,validation,0.1,0.8,Allen et al. 2025,24,1604,1462,737,701,0.4861747654455241,0.9461323232981774,0.6423003334618426
detectron2-maskrcnn,TreePolygons,validation,0.1,0.8,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,0.85,overall (macro),85,4329,5546,3728,3661,0.4304336806177317,0.958291050511418,0.5940424833354567
detectron2-maskrcnn,TreePolygons,validation,0.1,0.85,Allen et al. 2025,24,1604,1462,737,694,0.4861747654455241,0.9377078167979477,0.6403475729998408
detectron2-maskrcnn,TreePolygons,validation,0.1,0.85,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,0.9,overall (macro),85,4329,5546,3728,3657,0.4304336806177317,0.9561149392123229,0.5936237164610942
detectron2-maskrcnn,TreePolygons,validation,0.1,0.9,Allen et al. 2025,24,1604,1462,737,690,0.4861747654455241,0.9333555941997576,0.6393296684415061
detectron2-maskrcnn,TreePolygons,validation,0.1,0.9,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,overall (macro),85,4329,5546,3728,3642,0.4304336806177317,0.9468417463982775,0.5918243655123226
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,Allen et al. 2025,24,1604,1462,737,675,0.4861747654455241,0.9148092085716665,0.6349211135219998
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,overall (macro),85,4329,5546,3728,3538,0.4304336806177317,0.8846958717444124,0.5791108558366566
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,Allen et al. 2025,24,1604,1462,737,577,0.4861747654455241,0.8200845042408176,0.6104521525661978
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,Frey et al. 2026,61,2725,4084,2991,2961,0.37469259578993924,0.9493072392480074,0.537308818721752
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,overall (macro),85,4329,5546,3728,0,0.4304336806177317,0.3850414562142551,0.40647422270302647
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,Allen et al. 2025,24,1604,1462,737,0,0.4861747654455241,0.49468435107776526,0.4903926451890063
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,Frey et al. 2026,61,2725,4084,2991,0,0.37469259578993924,0.2753985613507449,0.317462561045095
